Código de Ubigeo,DISTRITOS,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Setiembre,Octubre,Noviembre,Diciembre
010101,CHACHAPOYAS, 504 , 490 , 510 , 513 , 516 , 531 , 541 , 553 , 550 , 560 , 536 , 545 
010103,BALSAS, 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 1 , 1 , - , 1 
010107,GRANADA, - , - , - , - , - , - , - , - , 1 , 1 , - , 1 
010108,HUANCAS, - , - , - , - , - , - , 1 , 1 , 1 , 1 , 1 , 1 
010109,LA JALCA, 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 2 , 3 
010110,LEIMEBAMBA, 8 , 8 , 7 , 6 , 6 , 6 , 6 , 6 , 7 , 8 , 7 , 7 
010112,MAGDALENA, 2 , 2 , 3 , 3 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 
010114,MOLINOPAMPA, - , - , - , - , - , - , - , 1 , - , - , - , - 
010120,SOLOCO, - , - , - , - , - , - , - , - , - , - , 1 , 1 
010201,BAGUA, 225 , 219 , 227 , 229 , 237 , 244 , 242 , 243 , 246 , 250 , 249 , 251 
010202,ARAMANGO, 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 
010203,COPALLIN, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
010204,EL PARCO, 1 , 1 , 1 , - , - , 1 , 1 , 1 , - , - , - , - 
010205,IMAZA, 22 , 20 , 20 , 19 , 17 , 17 , 17 , 16 , 16 , 18 , 19 , 19 
010206,LA PECA, 26 , 26 , 26 , 26 , 23 , 23 , 23 , 22 , 23 , 22 , 22 , 22 
010301,JUMBILLA, 1 , 2 , 2 , 1 , 3 , 1 , 1 , 2 , 3 , 3 , 3 , 3 
010303,CHURUJA, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , - , 1 
010305,CUISPES, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
010306,FLORIDA, 3 , 2 , 2 , 2 , 2 , 2 , 4 , 4 , 5 , 5 , 4 , 3 
010307,JAZAN, 38 , 39 , 40 , 42 , 39 , 40 , 41 , 41 , 40 , 41 , 39 , 40 
010310,SHIPASBAMBA, - , - , - , - , - , - , 1 , 1 , 1 , 1 , 1 , 1 
010311,VALERA, 4 , 4 , 4 , 4 , 4 , 4 , 4 , 4 , 5 , 6 , 6 , 7 
010312,YAMBRASBAMBA, 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 
010401,NIEVA, 25 , 25 , 26 , 26 , 24 , 25 , 26 , 27 , 27 , 30 , 31 , 32 
010402,EL CENEPA, - , - , - , - , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
010403,RIO SANTIAGO, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
010501,LAMUD, 3 , 3 , 3 , 2 , 2 , 2 , 3 , 3 , 3 , 3 , 3 , 3 
010502,CAMPORREDONDO, - , - , - , - , - , - , - , 1 , 1 , 1 , 1 , 1 
010505,CONILA, - , - , - , - , - , - , - , - , - , - , 1 , - 
010509,LUYA, - , - , 1 , 1 , 1 , - , - , - , - , - , - , - 
010513,OCUMAL, - , - , - , - , - , - , - , - , 1 , 1 , 1 , 1 
010514,PISUQUIA, 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , - , 2 
010517,SAN FRANCISCO DEL YESO, - , - , - , - , - , - , - , 1 , 1 , 1 , 1 , 1 
010522,TINGO, 3 , 3 , 3 , 3 , 3 , 3 , 2 , 2 , 2 , 3 , 2 , 3 
010601,SAN NICOLAS, 59 , 60 , 60 , 59 , 57 , 59 , 57 , 60 , 63 , 66 , 63 , 62 
010602,CHIRIMOTO, - , - , - , - , - , - , - , 1 , 1 , - , - , - 
010603,COCHAMAL, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , - , 1 
010604,HUAMBO, 2 , 2 , 3 , 3 , 3 , 3 , 2 , 2 , 2 , 2 , 2 , 1 
010605,LIMABAMBA, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , - , 1 
010606,LONGAR, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , - , - , - 
010607,MARISCAL BENAVIDES, 5 , 5 , 5 , 4 , 4 , 5 , 6 , 6 , 6 , 6 , 4 , 6 
010609,OMIA, 5 , 5 , 5 , 4 , 4 , 3 , 3 , 3 , 3 , 2 , 2 , 2 
010610,SANTA ROSA, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 2 
010611,TOTORA, 1 , 1 , - , - , 1 , 1 , 1 , 1 , 1 , - , - , - 
010701,BAGUA GRANDE, 393 , 403 , 417 , 423 , 423 , 417 , 428 , 434 , 437 , 440 , 421 , 446 
010702,CAJARURO, 20 , 19 , 19 , 20 , 18 , 19 , 18 , 19 , 17 , 19 , 18 , 20 
010703,CUMBA, 2 , 2 , 3 , 2 , 2 , 2 , 3 , 3 , 3 , 3 , 3 , 3 
010704,EL MILAGRO, 12 , 12 , 13 , 13 , 11 , 11 , 11 , 10 , 12 , 13 , 14 , 13 
010705,JAMALCA, 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 2 
010706,LONYA GRANDE, 16 , 16 , 17 , 17 , 16 , 17 , 19 , 19 , 19 , 19 , 18 , 20 
020101,HUARAZ, 908 , 892 , 921 , 946 , 944 , 944 , 964 , 975 , 955 , 1 007 , 932 , 1 008 
020102,COCHABAMBA, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
020105,INDEPENDENCIA, 596 , 582 , 603 , 613 , 616 , 625 , 627 , 630 , 616 , 663 , 627 , 670 
020106,JANGAS, 22 , 22 , 21 , 23 , 22 , 22 , 23 , 26 , 24 , 26 , 26 , 30 
020108,OLLEROS, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
020110,PARIACOTO, 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 
020111,PIRA, - , - , - , - , - , - , - , - , - , - , 1 , - 
020112,TARICA, 10 , 9 , 10 , 11 , 12 , 13 , 13 , 13 , 12 , 11 , 10 , 12 
020201,AIJA, 5 , 5 , 6 , 6 , 6 , 6 , 6 , 7 , 6 , 5 , 4 , 4 
020204,LA MERCED, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , - , 1 
020301,LLAMELLIN, 30 , 29 , 30 , 31 , 31 , 29 , 29 , 29 , 30 , 30 , 28 , 28 
020302,ACZO, 1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 
020303,CHACCHO, 5 , 5 , 5 , 6 , 6 , 5 , 5 , 5 , 4 , 4 , 4 , 4 
020305,MIRGAS, 3 , 2 , 2 , 1 , 1 , 2 , 2 , 3 , 3 , 3 , 3 , 3 
020401,CHACAS, 73 , 71 , 69 , 73 , 72 , 72 , 72 , 75 , 76 , 76 , 76 , 79 
020402,ACOCHACA, 6 , 6 , 6 , 7 , 8 , 8 , 7 , 7 , 7 , 7 , 7 , 6 
020501,CHIQUIAN, 12 , 12 , 11 , 13 , 10 , 10 , 11 , 10 , 10 , 10 , 10 , 10 
020504,AQUIA, - , - , - , - , - , - , - , - , - , - , 1 , - 
020505,CAJACAY, 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 1 , 2 , 2 , 2 
020506,CANIS, - , - , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
020507,COLQUIOC, 2 , 2 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 
020508,HUALLANCA, 26 , 24 , 22 , 22 , 23 , 25 , 25 , 26 , 23 , 24 , 24 , 26 
020510,HUAYLLACAYAN, - , - , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
020513,PACLLON, 1 , 1 , 1 , - , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
020514,SAN MIGUEL DE CORPANQUI, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
020515,TICLLOS, 4 , 4 , 4 , 4 , 4 , 4 , 4 , 6 , 5 , 6 , 4 , 6 
020601,CARHUAZ, 61 , 54 , 60 , 59 , 61 , 63 , 62 , 62 , 58 , 63 , 57 , 63 
020602,ACOPAMPA, 3 , 3 , 3 , 3 , 3 , 4 , 4 , 4 , 4 , 4 , 4 , 4 
020603,AMASHCA, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 1 , 1 , 1 
020604,ANTA, 10 , 10 , 9 , 9 , 9 , 9 , 9 , 9 , 9 , 7 , 8 , 8 
020606,MARCARA, 20 , 20 , 22 , 21 , 20 , 20 , 20 , 21 , 19 , 20 , 21 , 22 
020607,PARIAHUANCA, 2 , 2 , 2 , 3 , 3 , 3 , 2 , 2 , 2 , 2 , 2 , 2 
020609,SHILLA, 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 1 , 2 
020610,TINCO, - , - , - , - , - , - , 1 , 1 , 2 , 2 , 2 , 1 
020611,YUNGAR, 6 , 5 , 5 , 6 , 6 , 6 , 5 , 7 , 5 , 6 , 5 , 6 
020701,SAN LUIS, 44 , 45 , 43 , 47 , 48 , 46 , 48 , 53 , 44 , 49 , 49 , 46 
020703,YAUYA, 2 , 2 , 2 , 2 , 2 , 2 , 2 , 3 , 2 , 3 , 3 , 3 
